Opportunity_ID,Target
10689,1
10690,1
10691,0
10692,1
10693,1
10694,1
10695,0
10696,0
10697,0
10698,0
10699,0
10700,0
10701,0
10702,0
10703,0
10704,1
10705,1
10706,0
10707,0
10708,0
10709,1
10710,1
10711,1
10712,1
10713,1
10714,1
10715,1
10716,1
10717,1
10718,1
10719,1
10720,1
10721,1
10722,1
10723,1
10724,1
10725,1
10726,1
10727,0
10728,1
10729,1
10730,1
10731,0
10732,0
10733,0
10734,1
10735,1
10736,1
10737,1
10738,1
10739,1
10740,0
10741,1
10742,0
10743,1
10744,0
10745,0
10746,0
10747,0
10748,1
10749,1
10750,0
10751,1
10752,1
10753,1
10754,1
10755,1
10756,1
10757,0
10758,0
10759,0
10760,0
10761,1
10762,1
10763,1
10764,1
10765,0
10766,1
10767,1
10768,1
10769,0
10770,0
10771,0
10772,1
10773,1
10774,0
10775,0
10776,0
10777,1
10778,1
10779,1
10780,1
10781,1
10782,0
10783,0
10784,1
10785,1
10786,0
10787,1
10788,0
10789,1
10790,1
10791,0
10792,1
10793,1
10794,1
10795,1
10796,0
10797,1
10798,0
10799,0
10800,0
10801,0
10802,0
10803,0
10804,1
10805,0
10806,1
10807,0
10808,1
10809,1
10810,0
10811,0
10812,1
10813,0
10814,0
10815,1
10816,1
10817,0
10818,1
10819,0
10820,1
10821,0
10822,0
10823,1
10824,0
10825,0
10826,1
10827,1
10828,1
10829,1
10830,1
10831,1
10832,1
10833,0
10834,0
10835,1
10836,1
10837,1
10838,1
10839,0
10840,1
10841,0
10842,0
10843,0
10844,1
10845,1
10846,1
10847,1
10848,0
10849,1
10850,1
10851,0
10852,1
10853,1
10854,1
10855,1
10856,1
10857,1
10858,1
10859,0
10860,0
10861,0
10862,1
10863,0
10864,1
10865,1
10866,0
10867,0
10868,0
10869,0
10870,0
10871,1
10872,0
10873,0
10874,1
10875,1
10876,1
10877,1
10878,1
10879,0
10880,0
10881,1
10882,1
10883,0
10884,1
10885,1
10886,0
10887,0
10888,1
10889,1
10890,1
10891,1
10892,1
10893,0
10894,1
10895,1
10896,1
10897,1
10898,0
10899,1
10900,1
10901,1
10902,1
10903,0
10904,1
10905,1
10906,1
10907,0
10908,0
10909,1
10910,0
10911,1
10912,1
10913,1
10914,0
10915,1
10916,1
10917,1
10918,1
10919,0
10920,0
10921,1
10922,0
10923,1
10924,1
10925,1
10926,0
10927,0
10928,1
10929,1
10930,0
10931,1
10932,1
10933,1
10934,1
10935,1
10936,1
10937,0
10938,0
10939,1
10940,1
10941,0
10942,0
10943,0
10944,0
10945,1
10946,1
10947,1
10948,0
10949,1
10950,0
10951,0
10952,1
10953,0
10954,1
10955,0
10956,0
10957,0
10958,0
10959,0
10960,1
10961,1
10962,0
10963,0
10964,0
10965,0
10966,1
10967,1
10968,0
10969,1
10970,0
10971,1
10972,0
10973,0
10974,0
10975,1
10976,1
10977,1
10978,1
10979,1
10980,0
10981,1
10982,1
10983,1
10984,0
10985,0
10986,1
10987,1
10988,1
10989,0
10990,0
10991,0
10992,0
10993,1
10994,0
10995,0
10996,1
10997,0
10998,1
10999,1
11000,0
11001,1
11002,1
11003,0
11004,1
11005,0
11006,0
11007,1
11008,0
11009,1
11010,1
11011,1
